outcometype_Euthanasia,castration_Spayed,sex_Unknown,free_day_True,has_name_Yes,castration_Unknown,has_name_No,castration_Intact,value,outcometype_Transfer,animaltype_Cat,sex_Male,sex_Female,outcometype_Return_to_owner,outcometype_Died,castration_Neutered,outcometype_Adoption,animaltype_Dog,free_day_False
845,5808,78,5578,12923,78,2672,2995,animaltype_Dog,3917,0,8312,7205,4286,50,6714,6497,15595,10017
710,3012,1016,3863,6115,1016,5019,4041,animaltype_Cat,5505,11134,4992,5126,500,147,3065,4272,0,7271
740,7578,38,7020,19038,38,0,2988,has_name_Yes,4497,6115,9960,9040,4633,77,8434,9091,12923,12018
815,1242,1056,2421,0,1056,7691,4048,has_name_No,4925,5019,3344,3291,153,120,1345,1678,2672,5270
387,3411,344,9441,7020,344,2421,2064,free_day_True,2669,3863,4647,4450,1472,68,3622,4845,5578,0
1168,5409,750,0,12018,750,5270,4972,free_day_False,6753,7271,8657,7881,3314,129,6157,5924,10017,17288
101,0,1094,344,38,1094,1056,0,sex_Unknown,955,1016,0,0,13,25,0,0,78,750
821,0,0,4647,9960,0,3344,3525,sex_Male,4281,4992,13304,0,2724,98,9779,5380,8312,8657
633,8820,0,4450,9040,0,3291,3511,sex_Female,4186,5126,0,12331,2049,74,0,5389,7205,7881
101,0,1094,344,38,1094,1056,0,castration_Unknown,955,1016,0,0,13,25,0,0,78,750
232,8820,0,3411,7578,0,1242,0,castration_Spayed,1636,3012,0,8820,1748,18,0,5186,5808,5409
878,0,0,2064,2988,0,4048,7036,castration_Intact,4884,4041,3525,3511,778,135,0,361,2995,4972
344,0,0,3622,8434,0,1345,0,castration_Neutered,1947,3065,9779,0,2247,19,9779,5222,6714,6157
0,1636,955,2669,4497,955,4925,4884,outcometype_Transfer,9422,5505,4281,4186,0,0,1947,0,3917,6753
0,5186,0,4845,9091,0,1678,361,outcometype_Adoption,0,4272,5380,5389,0,0,5222,10769,6497,5924
0,1748,13,1472,4633,13,153,778,outcometype_Return_to_owner,0,500,2724,2049,4786,0,2247,0,4286,3314
0,18,25,68,77,25,120,135,outcometype_Died,0,147,98,74,0,197,19,0,50,129
1555,232,101,387,740,101,815,878,outcometype_Euthanasia,0,710,821,633,0,0,344,0,845,1168
