animalid,name,datetime,outcometype,outcomesubtype,animaltype,sex,castration,ageuponoutcome,breed,color
A671945,Hambone,Wednesday,Return_to_owner,,Dog,Male,Neutered,365,Shetland Sheepdog Mix,Brown/White
A656520,Emily,Sunday,Euthanasia,Suffering,Cat,Female,Spayed,365,Domestic Shorthair Mix,Cream Tabby
A686464,Pearce,Saturday,Adoption,Foster,Dog,Male,Neutered,730,Pit Bull Mix,Blue/White
A683430,,Friday,Transfer,Partner,Cat,Male,Intact,21,Domestic Shorthair Mix,Blue Cream
A667013,,Friday,Transfer,Partner,Dog,Male,Neutered,730,Lhasa Apso/Miniature Poodle,Tan
A677334,Elsa,Friday,Transfer,Partner,Dog,Female,Intact,31,Cairn Terrier/Chihuahua Shorthair,Black/Tan
A699218,Jimmy,Saturday,Transfer,Partner,Cat,Male,Intact,21,Domestic Shorthair Mix,Blue Tabby
A701489,,Thursday,Transfer,Partner,Cat,Unknown,Unknown,21,Domestic Shorthair Mix,Brown Tabby
A671784,Lucy,Tuesday,Adoption,,Dog,Female,Spayed,155,American Pit Bull Terrier Mix,Red/White
A677747,,Saturday,Adoption,Offsite,Dog,Female,Spayed,365,Cairn Terrier,White
A668402,,Thursday,Transfer,SCRP,Cat,Unknown,Unknown,730,Domestic Shorthair Mix,Black
A666320,,Monday,Adoption,,Dog,Female,Spayed,730,Miniature Schnauzer Mix,Silver
A684601,Rocket,Wednesday,Adoption,Foster,Dog,Male,Neutered,1460,Pit Bull Mix,Brown
A704702,Scooter,Monday,Return_to_owner,,Dog,Male,Neutered,730,Yorkshire Terrier Mix,Black/Red
A688584,Preston,Wednesday,Return_to_owner,,Dog,Male,Neutered,365,Great Pyrenees Mix,White/Cream
A678825,Oliver,Saturday,Adoption,Foster,Cat,Male,Neutered,93,Domestic Shorthair Mix,Orange Tabby/White
A678050,,Saturday,Transfer,Partner,Cat,Male,Intact,21,Domestic Shorthair Mix,Brown Tabby
A680028,,Saturday,Transfer,Partner,Dog,Female,Intact,14,Pit Bull Mix,Brown/White
A679010,Chrissy,Saturday,Transfer,Partner,Cat,Female,Intact,730,Angora Mix,White
A684787,Kuma,Wednesday,Return_to_owner,,Dog,Male,Neutered,365,Flat Coat Retriever Mix,Black
A670658,Anders,Sunday,Transfer,Partner,Dog,Male,Intact,62,Queensland Heeler Mix,Black/White
A708812,Munchkin,Friday,Transfer,Partner,Cat,Female,Spayed,365,Domestic Shorthair Mix,White
A705262,Jamaica,Saturday,Adoption,,Dog,Female,Spayed,730,Plott Hound/Boxer,Brown Brindle/White
A665781,Quattro,Monday,Adoption,,Dog,Male,Neutered,310,German Shepherd Mix,Brown/White
A676333,Trigger,Wednesday,Return_to_owner,,Dog,Male,Neutered,62,German Shepherd Mix,Black/Brown
A712750,Olive,Saturday,Transfer,Partner,Cat,Female,Intact,31,Domestic Shorthair Mix,Orange Tabby
A718832,Nia,Friday,Adoption,,Dog,Female,Spayed,186,American Staffordshire Terrier Mix,Chocolate/White
A698777,Chloe,Wednesday,Adoption,,Dog,Female,Spayed,1825,Chihuahua Shorthair Mix,White/Tan
A715348,Cymbale,Saturday,Adoption,,Cat,Female,Spayed,62,Domestic Shorthair Mix,Cream Tabby/White
A708666,Jax,Thursday,Return_to_owner,,Cat,Male,Neutered,2555,Russian Blue Mix,Blue
A718535,,Friday,Euthanasia,Suffering,Cat,Female,Spayed,1095,Domestic Shorthair Mix,Calico
A707341,Murphy,Wednesday,Transfer,Partner,Dog,Male,Intact,124,Labrador Retriever Mix,Black/White
A682532,,Thursday,Adoption,,Cat,Female,Spayed,62,Domestic Shorthair Mix,Torbie
A666825,Jesse,Friday,Return_to_owner,,Dog,Male,Neutered,1825,Collie Smooth/German Shepherd,Brown/Black
A699723,Delgado,Saturday,Transfer,Partner,Dog,Male,Neutered,1095,Chihuahua Shorthair Mix,Brown
A668626,,Friday,Euthanasia,Suffering,Dog,Male,Intact,1095,Labrador Retriever Mix,Yellow
A657085,Pony Boy,Thursday,Return_to_owner,,Dog,Male,Neutered,1095,Pit Bull Mix,Brown/White
A682413,,Wednesday,Transfer,Partner,Cat,Male,Intact,62,Domestic Shorthair Mix,Blue/White
A702655,Mica,Tuesday,Transfer,Partner,Cat,Male,Neutered,124,Domestic Shorthair Mix,Black/White
A707503,,Tuesday,Transfer,Partner,Cat,Male,Intact,21,Domestic Shorthair Mix,Brown Tabby
A697199,Pilar,Saturday,Adoption,,Cat,Female,Spayed,2555,Domestic Shorthair Mix,Blue Tabby
A705598,,Tuesday,Transfer,Partner,Cat,Male,Intact,62,Domestic Shorthair Mix,Orange Tabby
A668388,Lucy,Monday,Transfer,Partner,Cat,Female,Intact,62,Domestic Shorthair Mix,Brown Tabby
A671181,,Tuesday,Transfer,SCRP,Cat,Male,Intact,1460,Domestic Longhair Mix,Black/White
A676766,Ali,Wednesday,Adoption,,Cat,Male,Neutered,730,Domestic Shorthair Mix,Black/White
A686716,Chester,Wednesday,Return_to_owner,,Dog,Male,Neutered,4380,Beagle,Tricolor
A684475,Daisy,Tuesday,Return_to_owner,,Cat,Female,Spayed,3285,Domestic Shorthair Mix,White/Black
A701804,,Tuesday,Transfer,Partner,Cat,Female,Intact,21,Domestic Shorthair Mix,Black
A697852,Edith,Monday,Adoption,,Dog,Female,Spayed,155,German Shepherd Mix,Black/Brown
A666092,,Wednesday,Euthanasia,Aggressive,Dog,Male,Intact,2190,Pit Bull/Labrador Retriever,Chocolate/White
A684050,,Monday,Transfer,SCRP,Cat,Female,Intact,365,Domestic Shorthair Mix,Tortie
A710107,Caty,Monday,Adoption,,Cat,Female,Spayed,93,Domestic Shorthair Mix,Brown Tabby
A682347,,Thursday,Transfer,Partner,Cat,Female,Intact,21,Domestic Shorthair Mix,Blue Tabby/White
A701627,Gabe,Thursday,Adoption,,Dog,Male,Neutered,730,Blue Lacy Mix,Gray/White
A690902,Beth,Tuesday,Adoption,,Cat,Female,Spayed,62,Domestic Shorthair Mix,Orange Tabby/White
A712979,,Sunday,Transfer,Partner,Cat,Male,Intact,7,Domestic Shorthair Mix,Black
A707687,Bashful,Sunday,Adoption,,Cat,Female,Spayed,62,Domestic Shorthair Mix,Calico
A683443,,Friday,Transfer,Partner,Dog,Male,Intact,365,Chihuahua Shorthair Mix,Tan
A597644,Lola,Tuesday,Return_to_owner,,Dog,Female,Spayed,1460,Black Mouth Cur Mix,Tan/Black
A682784,Sugar,Monday,Adoption,,Dog,Male,Neutered,730,Dachshund/Beagle,Brown/White
A709863,Orangejello,Wednesday,Transfer,Partner,Cat,Male,Intact,365,Domestic Shorthair Mix,Orange Tabby/White
A678506,Prec Punkin',Friday,Euthanasia,Suffering,Dog,Female,Spayed,4015,Yorkshire Terrier Mix,Brown/Black
A713029,Wilma,Tuesday,Transfer,Partner,Cat,Female,Intact,31,Domestic Shorthair Mix,Black
A712236,Bella,Wednesday,Adoption,,Dog,Female,Spayed,730,Dachshund Mix,Tan/White
A683961,,Thursday,Transfer,Partner,Cat,Unknown,Unknown,14,Domestic Shorthair Mix,Black
A714740,Chiquita,Tuesday,Return_to_owner,,Dog,Female,Spayed,2190,Maltese Mix,White
A691847,Hero,Monday,Transfer,Partner,Dog,Male,Neutered,186,Pointer Mix,Black/White
A711392,Molly,Tuesday,Transfer,Partner,Dog,Female,Intact,62,English Foxhound,Buff
A705258,,Tuesday,Transfer,SCRP,Cat,Unknown,Unknown,62,Domestic Shorthair Mix,Brown Tabby/White
A678172,Bella,Saturday,Adoption,,Dog,Female,Spayed,365,Chihuahua Shorthair Mix,Red
A676736,Chili,Wednesday,Adoption,,Dog,Male,Neutered,62,Vizsla Mix,Brown
A701575,Hastings,Friday,Transfer,Partner,Dog,Male,Neutered,730,Pit Bull Mix,Brown Brindle/White
A674913,,Tuesday,Adoption,,Dog,Female,Spayed,1095,German Shepherd/Great Pyrenees,White
A706446,Tootsie,Tuesday,Return_to_owner,,Cat,Female,Intact,365,Domestic Shorthair Mix,Black
A669540,Snookie,Saturday,Return_to_owner,,Dog,Female,Spayed,1460,Yorkshire Terrier Mix,Blue/Tan
A709371,Abby,Wednesday,Transfer,Partner,Dog,Female,Spayed,730,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
A681410,Nym,Sunday,Adoption,,Cat,Female,Spayed,93,Domestic Longhair,Brown Tabby
A675021,,Friday,Euthanasia,Suffering,Cat,Female,Intact,365,Domestic Shorthair Mix,Calico
A704179,Zeus,Sunday,Adoption,,Dog,Male,Neutered,62,Chow Chow/Pit Bull,Black
A717839,,Sunday,Transfer,SCRP,Cat,Female,Spayed,730,Domestic Shorthair Mix,Black/White
A700740,Charlie,Thursday,Adoption,Foster,Dog,Male,Neutered,365,Chihuahua Shorthair,White
A712376,,Tuesday,Euthanasia,Suffering,Cat,Unknown,Unknown,14,Domestic Shorthair Mix,Blue Tabby
A703952,Taco,Saturday,Transfer,Partner,Cat,Unknown,Unknown,28,Siamese Mix,Seal Point
A713690,,Monday,Transfer,SCRP,Cat,Male,Intact,730,Domestic Shorthair Mix,Blue Tabby
A691838,Avaddon,Monday,Euthanasia,Suffering,Dog,Male,Neutered,4380,Pit Bull Mix,Brown Brindle
A687789,,Sunday,Adoption,,Dog,Male,Neutered,365,Dachshund/Beagle,Brown/White
A704754,Arthur,Saturday,Adoption,Foster,Cat,Male,Neutered,62,Domestic Shorthair Mix,Black
A707531,,Tuesday,Transfer,Partner,Cat,Male,Intact,14,Domestic Shorthair Mix,Black
A677594,,Saturday,Transfer,Partner,Dog,Female,Intact,93,Labrador Retriever Mix,Black/White
A667155,,Monday,Adoption,,Cat,Female,Spayed,93,Domestic Medium Hair Mix,Calico
A717147,Freeway,Tuesday,Adoption,,Dog,Male,Neutered,155,Plott Hound Mix,Brown Brindle/White
A687012,Chloe,Sunday,Adoption,,Dog,Female,Spayed,1095,Boxer/Great Dane,Black
A676200,Georgia,Thursday,Transfer,Partner,Dog,Female,Spayed,2555,Lhasa Apso,White/Black
A676680,Hero,Friday,Euthanasia,Aggressive,Dog,Female,Spayed,730,German Shepherd Mix,Black/Tan
A688443,Thelma,Monday,Adoption,Foster,Cat,Female,Spayed,124,Domestic Shorthair Mix,Black
A715261,Darcy,Sunday,Adoption,,Dog,Female,Spayed,3285,Beagle/Treeing Walker Coonhound,White/Brown
A717008,Taz,Sunday,Transfer,Partner,Dog,Male,Neutered,217,Border Collie Mix,Black/White
A683416,,Monday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Black/White
A690658,,Friday,Transfer,SCRP,Cat,Male,Intact,1095,Domestic Shorthair Mix,Black/White
A695155,,Wednesday,Adoption,,Dog,Male,Neutered,1095,Border Terrier Mix,Gray
A679721,Poppy,Thursday,Adoption,,Dog,Male,Neutered,1825,Chihuahua Shorthair Mix,Tan/White
A719113,Dexter,Thursday,Transfer,Partner,Dog,Male,Neutered,1825,Boxer Mix,Brown Brindle/White
A665298,,Wednesday,Transfer,Partner,Cat,Female,Intact,14,Domestic Medium Hair Mix,Blue
A708351,,Sunday,Transfer,Partner,Cat,Unknown,Unknown,14,Domestic Shorthair Mix,Black
A670681,Matty,Thursday,Transfer,Partner,Cat,Female,Spayed,1460,Domestic Shorthair Mix,Torbie
A699990,Chubbs,Wednesday,Return_to_owner,,Dog,Male,Neutered,1460,Cairn Terrier Mix,Tan/White
A707767,Lilly,Sunday,Adoption,,Cat,Male,Neutered,62,Domestic Shorthair Mix,Brown Tabby
A668362,Minnie,Friday,Return_to_owner,,Dog,Female,Spayed,730,Chihuahua Shorthair Mix,Black/Tan
A674577,Santiago,Sunday,Adoption,,Dog,Male,Neutered,730,Dogo Argentino Mix,White
A674802,Franklin,Saturday,Return_to_owner,,Dog,Male,Neutered,3285,Dachshund Mix,Black/Brown
A672410,Myles,Tuesday,Return_to_owner,,Dog,Male,Neutered,1825,Beagle Mix,Tricolor
A657753,Wiz,Friday,Euthanasia,Aggressive,Dog,Male,Neutered,365,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
A663339,Abby,Sunday,Adoption,,Dog,Female,Spayed,730,Pit Bull Mix,Fawn/White
A678229,,Tuesday,Transfer,Partner,Cat,Male,Intact,21,Domestic Shorthair Mix,Brown Tabby
A698694,Boss,Monday,Transfer,Partner,Dog,Male,Intact,155,Pit Bull Mix,White/Brown
A695971,,Monday,Euthanasia,Suffering,Cat,Male,Intact,2190,Domestic Shorthair Mix,Orange Tabby
