animalid,name,datetime,holiday,outcometype,outcomesubtype,animaltype,sex,castration,agegroup,breed,color
A671945,Hambone,Wednesday,False,Return_to_owner,,Dog,Male,Neutered,adult,Shetland Sheepdog Mix,Brown/White
A656520,Emily,Sunday,False,Euthanasia,Suffering,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Cream Tabby
A686464,Pearce,Saturday,False,Adoption,Foster,Dog,Male,Neutered,adult,Pit Bull Mix,Blue/White
A683430,,Friday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Blue Cream
A667013,,Friday,False,Transfer,Partner,Dog,Male,Neutered,adult,Lhasa Apso/Miniature Poodle,Tan
A677334,Elsa,Friday,False,Transfer,Partner,Dog,Female,Intact,puppy,Cairn Terrier/Chihuahua Shorthair,Black/Tan
A699218,Jimmy,Saturday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Blue Tabby
A701489,,Thursday,False,Transfer,Partner,Cat,Unknown,Unknown,kitten,Domestic Shorthair Mix,Brown Tabby
A671784,Lucy,Tuesday,False,Adoption,,Dog,Female,Spayed,puppy,American Pit Bull Terrier Mix,Red/White
A677747,,Saturday,False,Adoption,Offsite,Dog,Female,Spayed,adult,Cairn Terrier,White
A668402,,Thursday,False,Transfer,SCRP,Cat,Unknown,Unknown,adult,Domestic Shorthair Mix,Black
A666320,,Monday,False,Adoption,,Dog,Female,Spayed,adult,Miniature Schnauzer Mix,Silver
A684601,Rocket,Wednesday,False,Adoption,Foster,Dog,Male,Neutered,aging_dog,Pit Bull Mix,Brown
A704702,Scooter,Monday,False,Return_to_owner,,Dog,Male,Neutered,adult,Yorkshire Terrier Mix,Black/Red
A688584,Preston,Wednesday,False,Return_to_owner,,Dog,Male,Neutered,adult,Great Pyrenees Mix,White/Cream
A678825,Oliver,Saturday,False,Adoption,Foster,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Orange Tabby/White
A678050,,Saturday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A680028,,Saturday,False,Transfer,Partner,Dog,Female,Intact,puppy,Pit Bull Mix,Brown/White
A679010,Chrissy,Saturday,False,Transfer,Partner,Cat,Female,Intact,adult,Angora Mix,White
A684787,Kuma,Wednesday,False,Return_to_owner,,Dog,Male,Neutered,adult,Flat Coat Retriever Mix,Black
A670658,Anders,Sunday,False,Transfer,Partner,Dog,Male,Intact,puppy,Queensland Heeler Mix,Black/White
A708812,Munchkin,Friday,False,Transfer,Partner,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,White
A705262,Jamaica,Saturday,False,Adoption,,Dog,Female,Spayed,adult,Plott Hound/Boxer,Brown Brindle/White
A665781,Quattro,Monday,False,Adoption,,Dog,Male,Neutered,adult,German Shepherd Mix,Brown/White
A676333,Trigger,Wednesday,False,Return_to_owner,,Dog,Male,Neutered,puppy,German Shepherd Mix,Black/Brown
A712750,Olive,Saturday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Orange Tabby
A718832,Nia,Friday,False,Adoption,,Dog,Female,Spayed,puppy,American Staffordshire Terrier Mix,Chocolate/White
A698777,Chloe,Wednesday,False,Adoption,,Dog,Female,Spayed,aging_dog,Chihuahua Shorthair Mix,White/Tan
A715348,Cymbale,Saturday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Cream Tabby/White
A708666,Jax,Thursday,False,Return_to_owner,,Cat,Male,Neutered,adult,Russian Blue Mix,Blue
A718535,,Friday,True,Euthanasia,Suffering,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Calico
A707341,Murphy,Wednesday,False,Transfer,Partner,Dog,Male,Intact,puppy,Labrador Retriever Mix,Black/White
A682532,,Thursday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Torbie
A666825,Jesse,Friday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Collie Smooth/German Shepherd,Brown/Black
A699723,Delgado,Saturday,False,Transfer,Partner,Dog,Male,Neutered,aging_dog,Chihuahua Shorthair Mix,Brown
A668626,,Friday,False,Euthanasia,Suffering,Dog,Male,Intact,aging_dog,Labrador Retriever Mix,Yellow
A657085,Pony Boy,Thursday,False,Return_to_owner,,Dog,Male,Neutered,aging_dog,Pit Bull Mix,Brown/White
A682413,,Wednesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Blue/White
A702655,Mica,Tuesday,False,Transfer,Partner,Cat,Male,Neutered,kitten,Domestic Shorthair Mix,Black/White
A707503,,Tuesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A697199,Pilar,Saturday,False,Adoption,,Cat,Female,Spayed,adult,Domestic Shorthair Mix,Blue Tabby
A705598,,Tuesday,False,Transfer,Partner,Cat,Male,Intact,kitten,Domestic Shorthair Mix,Orange Tabby
A668388,Lucy,Monday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Brown Tabby
A671181,,Tuesday,False,Transfer,SCRP,Cat,Male,Intact,adult,Domestic Longhair Mix,Black/White
A676766,Ali,Wednesday,False,Adoption,,Cat,Male,Neutered,adult,Domestic Shorthair Mix,Black/White
A686716,Chester,Wednesday,False,Return_to_owner,,Dog,Male,Neutered,,Beagle,Tricolor
A684475,Daisy,Tuesday,False,Return_to_owner,,Cat,Female,Spayed,senior,Domestic Shorthair Mix,White/Black
A701804,,Tuesday,False,Transfer,Partner,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Black
A697852,Edith,Monday,False,Adoption,,Dog,Female,Spayed,puppy,German Shepherd Mix,Black/Brown
A666092,,Wednesday,False,Euthanasia,Aggressive,Dog,Male,Intact,aging_dog,Pit Bull/Labrador Retriever,Chocolate/White
A684050,,Monday,False,Transfer,SCRP,Cat,Female,Intact,kitten,Domestic Shorthair Mix,Tortie
A710107,Caty,Monday,False,Adoption,,Cat,Female,Spayed,kitten,Domestic Shorthair Mix,Brown Tabby
